cell,species,cell_types,genes,genome
666,Corsiniaceae_666,30,,
667,Exormothecaceae_667,30,,
668,Corsiniaceae_668,30,,
669,Cyathodiaceae_669,30,,
670,Dumortieraceae_670,20,,
671,Cleveaceae_671,30,26549.7,
672,Monosoleniaceae_672,30,,
673,Targioniaceae_673,30,,
674,Wiesnerellaceae_674,30,,
675,Monocleaceae_675,20,,
676,Conocephalaceae_676,20,,
677,Ricciaceae_677,20,,
678,Oxymitraceae_678,20,,
679,Aytoniaceae_679,30,,
680,Riellaceae_680,30,,
681,Monocarpaceae_681,30,,
682,Sphaerocarpaceae_682,30,,
683,Blasiaceae_683,30,,
684,Lycopodiaceae_684,11,,
685,Isoetaceae_685,11,,
686,Selaginellaceae_686,11,22285,250.8
687,Amborellaceae_687,11,,
688,Sabiaceae_688,30,,
689,Gunneraceae_689,30,,
690,Myrothamnaceae_690,30,,
691,Berberidopsidaceae_691,30,,
692,Aextoxicaceae_692,30,,
693,Frankeniaceae_693,30,,
694,Tamaricaceae_694,30,,
695,Ancistrocladaceae_695,30,,
696,Dioncophyllaceae_696,30,,
697,Drosophyllaceae_697,30,,
698,Nepenthaceae_698,30,,
699,Droseraceae_699,30,,
700,Plumbaginaceae_700,30,,
701,Polygonaceae_701,30,,
702,Phytolaccaceae_702,30,,
703,Phytolaccaceae_703,30,,
704,Gisekiaceae_704,30,,
705,Petiveriaceae_705,30,,
706,Nyctaginaceae_706,30,,
707,Sarcobataceae_707,30,,
708,Aizoaceae_708,30,,
709,Barbeuiaceae_709,30,,
